model: Logistic Regression with Quadratic = False
+------+-----+--------+--------+--------+
| PCA  |  pi | lambda | z-norm | minDCF |
| None | 0.1 |  0.01  |  True  | 0.495  |
| None | 0.1 |  0.1   |  True  | 0.588  |
| None | 0.1 |   1    |  True  | 0.612  |
| None | 0.1 |   10   |  True  | 0.652  |
| None | 0.1 |  100   |  True  | 0.667  |
|  9   | 0.1 | 1e-05  |  True  | 0.589  |
|  9   | 0.1 | 0.0001 |  True  | 0.574  |
|  9   | 0.1 | 0.001  |  True  | 0.578  |
|  9   | 0.1 |  0.01  |  True  |  0.56  |
|  9   | 0.1 |  0.1   |  True  | 0.579  |
|  9   | 0.1 |   1    |  True  | 0.601  |
|  9   | 0.1 |   10   |  True  | 0.645  |
|  9   | 0.1 |  100   |  True  |  0.66  |
|  8   | 0.1 | 1e-05  |  True  | 0.598  |
|  8   | 0.1 | 0.0001 |  True  | 0.576  |
|  8   | 0.1 | 0.001  |  True  | 0.588  |
|  8   | 0.1 |  0.01  |  True  | 0.559  |
|  8   | 0.1 |  0.1   |  True  | 0.588  |
|  8   | 0.1 |   1    |  True  | 0.615  |
|  8   | 0.1 |   10   |  True  | 0.665  |
|  8   | 0.1 |  100   |  True  | 0.673  |
|  7   | 0.1 | 1e-05  |  True  | 0.637  |
|  7   | 0.1 | 0.0001 |  True  |  0.63  |
|  7   | 0.1 | 0.001  |  True  | 0.609  |
|  7   | 0.1 |  0.01  |  True  | 0.567  |
|  7   | 0.1 |  0.1   |  True  |  0.59  |
|  7   | 0.1 |   1    |  True  | 0.652  |
|  7   | 0.1 |   10   |  True  | 0.682  |
|  7   | 0.1 |  100   |  True  | 0.687  |
| None | 0.5 | 1e-05  | False  | 0.282  |
| None | 0.5 | 0.0001 | False  | 0.294  |
| None | 0.5 | 0.001  | False  | 0.291  |
| None | 0.5 |  0.01  | False  |  0.29  |
| None | 0.5 |  0.1   | False  | 0.303  |
| None | 0.5 |   1    | False  | 0.307  |
| None | 0.5 |   10   | False  |  0.33  |
| None | 0.5 |  100   | False  |  0.36  |
|  9   | 0.5 | 1e-05  | False  | 0.301  |
|  9   | 0.5 | 0.0001 | False  | 0.301  |
|  9   | 0.5 | 0.001  | False  |  0.29  |
|  9   | 0.5 |  0.01  | False  | 0.282  |
|  9   | 0.5 |  0.1   | False  | 0.291  |
|  9   | 0.5 |   1    | False  | 0.334  |
|  9   | 0.5 |   10   | False  | 0.371  |
|  9   | 0.5 |  100   | False  | 0.385  |
|  8   | 0.5 | 1e-05  | False  | 0.274  |
|  8   | 0.5 | 0.0001 | False  | 0.274  |
|  8   | 0.5 | 0.001  | False  | 0.278  |
|  8   | 0.5 |  0.01  | False  | 0.271  |
|  8   | 0.5 |  0.1   | False  | 0.291  |
|  8   | 0.5 |   1    | False  | 0.338  |
|  8   | 0.5 |   10   | False  | 0.376  |
|  8   | 0.5 |  100   | False  | 0.383  |
|  7   | 0.5 | 1e-05  | False  | 0.286  |
|  7   | 0.5 | 0.0001 | False  | 0.284  |
|  7   | 0.5 | 0.001  | False  | 0.276  |
|  7   | 0.5 |  0.01  | False  | 0.287  |
|  7   | 0.5 |  0.1   | False  | 0.301  |
